BindingDB MonomerID,IC50 (nM),Ligand SMILES
wild_577573,10,C[C@@H]1OC[C@@H]1Oc1nn(C)cc1Nc1ncc2cc(C#N)n([C@H]3COC[C@@H]3C)c2n1
wild_577595,44,C[C@@H]1OC[C@H]1n1c(cc2cnc(Nc3cn(C)nc3OC3COC3)nc12)C#N
wild_577557,2,C[C@@H]1OCC1Oc1nn(C)cc1Nc1ncc2cc(C#N)n([C@H]3COC[C@@H]3C)c2n1
wild_50552707,154,C[C@]1(CC[C@H]1O)N1CCN(CC1)c1cc2n(ncc2cc1Cl)-c1cnn(c1)C12CC(C1)C2
wild_620922,0.08,C[C@]1(COC[C@@H]1O)N1CCN(CC1)c1cc2nc(Nc3cnn(C4CC4)c3C(F)F)ncc2cc1Cl
wild_620723,19.9,C[C@]1(O)COCC11CCN(CC1)c1cc2nc(Nc3cnn(C4CC4)c3Cl)ncc2cc1Cl
wild_577554,1,C[C@H](C(F)F)n1cc(Nc2ncc3cc(C#N)n([C@H]4COC[C@@H]4C)c3n2)c(OC2COC2)n1
wild_678000,38,C[C@H](C1CC1)n1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)cn1
wild_282638,1030,C[C@H](Nc1c(nnc2cc(ccc12)-c1ccncc1)C(N)=O)c1ccccc1
wild_50603025,23,C[C@H](Nc1ccc2[nH]nc(-c3ccncc3)c2c1)c1cccc(c1)C#N
wild_577572,30,C[C@H](Oc1nn(C)cc1Nc1ncc2cc(C#N)n([C@H]3COC[C@@H]3C)c2n1)C(F)(F)F
wild_577560,1,C[C@H](ON(c1cnn(c1)C1COC1)c1ncc2cc(C#N)n([C@H]3COC[C@@H]3C)c2n1)C(F)(F)F
wild_50612224,51,C[C@H]1C(C(=O)Nc2ccc3[nH]nc(C)c3c2)=C(C)N(C)c2nnnn12
wild_50612227,1,C[C@H]1C(C(=O)Nc2ccc3[nH]nc(-c4ccnc(c4)N4CCOCC4)c3c2)=C(C)N(C)c2nnnn12
wild_50612222,94,C[C@H]1C(C(=O)Nc2ccc3[nH]ncc3c2)=C(C)N(C)c2nnnn12
wild_568970,550,C[C@H]1C[C@@H](C)CN(C1)c1cc(ccn1)-c1n[nH]c2ccc(NC(=O)c3ncc(cc3C)C#N)cc12
wild_185379,16,C[C@H]1C[C@@H](C)CN(C1)c1ncnc2[nH]cc(-c3cnn(C)c3)c12
wild_551318,16.3,C[C@H]1C[C@@H](CCO1)n1c(nc2cnc3ccc(Cl)cc3c12)C(O)c1cnc(C)cn1
wild_624749,13,C[C@H]1C[C@@H](CCO1)n1nc2OCCCn3nc(Cl)c4cnc(Nc2c1C)nc34
wild_624771,17,C[C@H]1C[C@H](C[C@@H](C)O1)n1nc(OCCCn2nc(Cl)c3cnc(Cl)nc23)c(c1C)[N+]([O-])=O
wild_624748,9,C[C@H]1C[C@H](CCO1)n1nc2OCCCn3nc(Cl)c4cnc(Nc2c1C)nc34
wild_50609738,2,C[C@H]1CC1(C#N)c1ccc2cnn(-c3cc(ncn3)N3CC4(CC3C4)C(C)(C)O)c2c1
wild_185415,30,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cc(C)cnc3Cl)c12
wild_185413,13,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3ccc(cc3)C(N)=O)c12
wild_185412,26,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3ccc(O)cc3)c12
wild_185401,67,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3ccc4[nH]ncc4c3)c12
wild_185406,33,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3ccc4C(=O)NCc4c3)c12
wild_185410,68,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3ccc4CNC(=O)c4c3)c12
wild_185423,11,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cccc(C#N)c3F)c12
wild_50059259,16,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cccc(c3)C#N)c12
wild_185416,86,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cccc(c3)C(N)=O)c12
wild_185419,55,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cccc(c3)C(O)=O)c12
wild_185402,24,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cccc(c3)S(N)(=O)=O)c12
wild_185571,18,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cccc(CO)c3)c12
wild_185414,9,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cccc(O)c3)c12
wild_185404,10,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cccc4[nH]ncc34)c12
wild_185373,91,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3ccccc3)c12
wild_185403,97,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3ccccc3F)c12
wild_185407,56,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cccnc3)c12
wild_185405,64,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cnc(F)c(C)c3)c12
wild_185409,74,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cnc4[nH]ccc4c3)c12
wild_185411,53,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cnc4cc[nH]c4c3)c12
wild_185408,15,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cncc(C)c3)c12
wild_185374,14,C[C@H]1CCCN(C1)c1ncnc2[nH]cc(-c3cnn(C)c3)c12
wild_50582708,3083,C[C@H]1CCCN1c1c(C#N)c2c(N)ncnc2n1C
wild_620815,6.06,C[C@H]1CN(C)CCN1c1cc2nc(Nc3cnn(c3Cl)C3(C)CC3)ncc2cc1Cl
wild_50609732,21,C[C@H]1CN(C[C@@H](C)N1C)c1cc(ncn1)-n1ncc2ccc(cc12)-c1ccn[nH]1
wild_50609735,275,C[C@H]1CN(C[C@@H](C)N1C)c1cc(ncn1)-n1ncc2ccc(CC3(CCC3)C#N)cc12
wild_50609736,990,C[C@H]1CN(C[C@@H](C)N1C)c1cc(ncn1)-n1ncc2ccc(CCC#N)cc12
wild_50609728,0.3,C[C@H]1CN(C[C@@H](C)O1)c1cc(ccn1)-c1n[nH]c2ccc(cc12)-c1cnn(C)c1
wild_50609730,161,C[C@H]1CN(C[C@@H](C)O1)c1cc(ccn1)-c1ncc2ccc(cn12)-c1cnn(C)c1
wild_50609729,3,C[C@H]1CN(C[C@@H](C)O1)c1cc(ccn1)-c1ncn2ccc(cc12)-c1cnn(C)c1
wild_488343,100,C[C@H]1CN(C[C@@H](C)O1)c1cc(ccn1)-n1ncc2ccc(cc12)-c1cnn(C)c1
wild_50590214,9,C[C@H]1CN(C[C@@H](C)O1)c1cc(NC(=O)c2cccc(n2)-c2cnn(C)c2)c(C)cn1
wild_50590215,1.5,C[C@H]1CN(C[C@@H](C)O1)c1cc(NC(=O)c2cccc(n2)-c2cnn(C)c2)c(cn1)C(F)(F)F
wild_239512,20.3,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(C=C(C)C)cc12
wild_239504,177.4,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccc(cc1)C#N
